Latitud,Longitud ,categoria,area,area_constr
-12.099363,-76.967067,1,39.12,110.87
-11.931685,-77.059962,1,6.98,72.80
-12.128587,-77.03043,1,9.09,55.32
-12.098089,-77.07088,1,7.42,139.66
-11.99506,-77.06524,1,8.05,143.81
-12.0826972,-77.1038,1,16.59,101.29
-11.234223,-74.629007,5,142.50,75.90
-12.112531,-77.01418,1,4.28,61.07
-12.1434,-76.997263,1,23.78,103.41
-13.52846,-71.962903,1,9.50,74.31
-12.104714,-76.992346,1,32.95,202.23
-12.0841,-77.03674,1,3.71,58.09
-12.099171,-77.052164,1,70.08,266.79
-12.097307,-77.034336,2,7.59,35.25
-3.740528,-73.255166,5,160.80,349.60
-11.328719,-74.532988,2,200.80,291.80
-12.092015,-77.050021,1,13.21,91.91
-3.756543,-73.251968,2,114.00,234.00
-5.188749,-80.641898,2,302.40,965.74
-12.093182,-77.026705,1,2.55,60.00
-12.068732,-77.047717,1,5.39,75.01
-12.092158,-77.06454,1,16.47,144.46
-8.134899,-79.0347,5,270.00,326.60
-12.09362,-77.045254,1,8.76,134.10
-12.14237,-77.001725,1,15.60,123.98
-12.139502,-77.023949,1,5.87,96.23
-12.0754682,-77.04774,2,81.17,182.46
-8.372753,-74.554836,5,586.89,266.58
-6.785016,-79.851666,5,152.38,295.19
-12.395405,-76.777093,4,360.00,287.70
-8.381362,-74.53793,2,329.50,324.50
-11.917522,-77.076027,5,160.00,298.52
-3.756233,-73.249729,4,121.00,284.23
-12.156872,-77.023159,1,3.09,40.36
-11.982589,-77.063633,5,160.20,662.09
-12.215268,-77.004026,5,459.00,300.00
-12.164373,-76.987371,5,90.00,65.70
-12.08726,-77.08415,1,5.23,72.00
-11.92777,-77.05719,1,3.62,50.30
-8.092892,-79.042146,1,21.07,89.74
-12.023509,-77.054672,1,34.49,66.30
-11.966,-77.063811,2,161.20,263.12
-12.063175,-76.947141,1,30.24,101.72
-12.823594,-76.549002,5,175.05,164.97
-12.0904,-77.031011,1,18.22,84.04
-12.079162,-77.028945,1,4.24,81.02
-12.139481,-77.004784,1,20.73,108.17
-12.126496,-76.994185,1,20.15,108.30
-6.775487,-79.83146,2,9.58,25.00
-12.166187,-76.972114,2,258.00,600.00
-12.057926,-77.123216,1,16.92,61.60
-8.07453,-79.118991,2,441.20,1166.04
-12.077502,-77.043532,1,5.25,59.36
-8.09338,-79.045367,1,11.97,71.80
-12.12235,-76.988706,5,250.80,292.01
-12.069151,-77.067594,1,5.89,61.50
-8.136739,-79.038602,1,22.32,142.06
-12.127882,-76.986337,3,20.24,161.41
-12.052031,-77.026223,1,4.92,34.26
-12.0941,-77.059175,1,5.72,86.01
-12.09845,-76.951676,5,271.92,255.25
-12.114675,-77.041423,1,15.50,148.26
-12.08871,-77.00706,1,43.55,119.06
-16.419349,-71.508317,1,55.05,88.98
-9.294371,-76.00011,2,250.00,579.71
-12.055169,-77.021761,1,27.00,54.00
-12.085082,-77.058198,1,19.56,110.53
-7.151912,-78.507126,1,21.72,125.22
-3.515958,-80.41283,4,1611800.00,687.43
-12.144533,-76.987038,1,26.31,72.39
-12.075431,-77.064828,2,27.34,118.86
-12.082884,-77.05079,1,7.95,101.70
-13.525521,-71.955338,1,15.99,97.34
-12.214489,-76.924695,2,230.00,235.40
-8.101278,-79.003944,2,3515.70,888.80
-12.117005,-77.043166,1,21.21,149.71
-12.309,-76.8435,5,458.64,168.26
-16.407533,-71.538512,2,2.79,7.28
-12.14393,-76.996821,1,21.25,129.36
-12.113688,-76.987113,1,71.01,248.22
-12.01768,-76.898045,1,14.17,59.00
-16.424543,-71.501708,5,124.45,82.60
-12.147137,-76.991477,5,200.00,190.50
-12.066638,-77.014152,2,3.36,29.21
-12.1212,-76.9836,1,21.02,127.95
-15.844738,-74.260005,4,42074.00,70.00
-11.863687,-77.090447,5,156.25,250.00
-8.368105,-74.588162,2,300.00,200.00
-12.060005,-76.940085,1,15.61,101.93
-12.0753512,-76.99494,1,22.88,76.75
-12.042556,-77.040268,5,96.61,152.10
-5.168313,-80.67007,4,108.00,75.60
-12.132883,-77.019107,1,14.82,110.00
-12.068717,-76.95593,5,279.68,380.38
-12.092327,-76.9877,1,65.64,144.75
-12.176333,-77.016944,1,7.13,74.44
-12.090942,-77.006109,5,304.80,240.35
-11.982391,-77.08242,1,3.97,42.60
-12.11098,-77.03195,5,144.75,170.40
-12.176194,-77.016771,1,13.00,86.13
-13.400867,-76.122262,5,2064000.00,445.60
-7.149259,-78.512335,1,25.80,107.88
-13.537602,-71.909579,2,25.14,171.83
-12.14214,-77.022581,1,21.85,87.60
-12.070832,-76.971507,1,28.69,99.80
-12.080641,-77.066708,1,44.78,108.75
-12.05791,-77.102058,1,17.00,73.89
-11.976352,-77.080731,5,90.00,279.78
-12.082483,-76.967625,3,9.88,214.24
-12.08614,-77.049889,1,9.27,94.88
-16.381801,-71.542312,1,41.62,144.76
-12.112411,-76.969391,5,103.27,178.80
-11.99265,-77.074263,5,200.00,159.80
-12.054793,-77.04924,5,60.98,262.32
-11.834588,-77.03553,4,30000.00,2.00
-12.09255,-77.04225,1,64.86,265.16
-12.143717,-77.020554,1,30.95,73.90
-12.062372,-77.026371,4,427.55,0.00
-6.029509,-76.97409,2,454.20,733.20
-8.132837,-79.040338,1,12.60,120.00
-12.098472,-77.023215,3,360.00,342.24
-12.08071,-77.016365,5,136.92,180.00
-16.410054,-71.550489,1,25.41,110.48
-12.114798,-77.03057,1,15.68,122.73
-12.104439,-77.03692,5,93.96,199.00
-16.399554,-71.552878,5,272.62,326.00
-12.189568,-76.943369,2,32.00,30.00
-12.140323,-77.022116,1,3.86,67.21
-12.068595,-77.056221,1,22.18,91.00
-13.561687,-71.846184,4,2218.00,110.60
-18.001055,-70.262324,5,145.10,140.00
-12.081413,-77.035787,5,200.00,245.34
-12.081316,-76.967461,3,66.55,247.00
-12.057696,-77.027984,2,1.83,12.76
-6.779451,-79.836006,1,24.68,122.28
-12.089313,-77.063437,1,30.51,131.35
-12.012388,-77.058245,5,284.73,254.18
-12.012816,-77.102926,1,15.91,69.16
-12.338433,-76.82087,1,35.95,140.30
-14.870032,-74.981531,4,450.00,0.00
-12.069832,-77.102378,1,26.47,61.37
-12.084787,-77.066714,1,56.96,143.10
-8.362005,-74.619501,4,31590.00,0.00
-12.092102,-77.081711,1,9.02,88.20
-12.158076,-77.023262,1,22.64,149.91
-8.096034,-79.052623,5,114.88,209.43
-12.078462,-77.0864,2,1876.90,2247.19
-5.1726343,-80.6714715,5,114.07,45.79
-12.06746,-77.013206,2,0.64,4.32
-5.176118,-80.670046,2,421.63,120.00
-12.0684772,-77.06119,1,7.12,98.63
-8.09407,-79.00448,2,440.00,82.00
-12.090784,-76.98274,1,46.72,191.51
-12.068231,-77.07411,5,140.00,203.00
-12.094448,-77.070123,1,6.08,100.42
-12.078078,-77.068471,1,4.00,76.57
-12.084439,-77.076688,5,158.82,201.48
-12.095137,-77.028877,1,8.40,140.25
-12.148181,-76.968344,5,160.00,275.00
-12.069675,-77.06282,1,8.60,115.97
-12.07503,-77.038453,1,5.90,76.05
-12.126316,-76.985343,1,30.17,167.25
-12.006005,-76.878844,5,120.00,371.13
-16.407777,-71.554711,5,200.00,279.09
-11.937662,-77.066525,1,9.30,100.90
-12.090568,-76.987696,1,36.19,215.14
-11.949108,-76.983341,5,90.00,113.75
-11.982013,-76.998147,2,1683.56,2163.47
-18.021618,-70.254776,5,6760.46,215.00
-12.01747,-76.898383,1,33.16,61.95
-12.123229,-76.997165,5,166.46,226.41
-12.081694,-77.039578,1,12.28,64.08
-3.563405,-80.420974,5,202.69,405.38
-16.374497,-71.517817,5,165.61,132.56
-9.578485,-77.53036,4,7638.00,2.00
-8.424266,-74.598816,4,56600.00,0.00
-12.104036,-76.943502,1,44.40,135.89
-12.685456,-76.61422,5,64.40,30.00
-12.068662,-75.214231,5,318.28,288.60
-12.096389,-76.982035,1,68.88,121.66
-8.1161179,-79.0238033,5,265.21,157.21
-12.083955,-77.0366,1,2.93,45.73
-12.205924,-77.011187,1,64.00,124.64
-9.120211,-78.52942,5,161.00,445.18
-12.32932,-76.830314,1,32.68,123.92
-12.088213,-77.036153,1,50.94,91.84
-12.054347,-77.026632,2,3.80,10.00
-12.11542,-77.02312,1,10.29,61.69
-11.956102,-76.98311,5,90.00,176.00
-11.937662,-77.066525,1,7.50,84.81
-12.066754,-76.91213,5,1094.00,380.58
-12.080388,-76.978942,5,172.57,256.75
-12.167942,-76.970964,1,17.78,56.27
-6.787972,-79.837454,1,28.36,153.40
-12.750162,-76.623533,5,168.00,271.86
-12.09528,-76.945857,1,46.58,136.06
-12.074023,-77.097183,1,12.78,100.00
-11.998114,-77.083676,5,160.00,360.00
-12.075226,-77.05626,1,19.47,95.90
-16.410979,-71.537588,5,64.01,89.58
-12.065888,-77.045882,1,5.38,113.37
-6.506354,-76.367912,2,175.20,549.80
-12.090457,-77.059955,5,544.84,661.32
-12.071547,-76.99514,1,30.97,98.41
-12.152065,-76.970309,2,70.00,358.00
-5.18951,-80.63042,5,31.00,68.30
-12.112404,-77.014408,1,1.84,40.00
-12.191071,-77.005625,2,132.51,342.53
-12.135186,-77.018378,1,7.16,101.00
-12.0946576,-77.0593471,1,0.00,77.51
-12.083843,-77.053,1,19.35,117.76
-12.07541,-77.09225,1,4.19,83.80
-12.113721,-76.937613,1,59.04,123.74
-12.070035,-77.04916,1,2.77,60.23
-12.117053,-77.023916,1,10.98,68.20
-8.122228,-79.04374,5,84.30,101.28
-12.12612,-77.026144,1,7.93,82.70
-12.115956,-77.047123,1,10.86,111.00
-11.942445,-77.048897,5,160.00,295.00
-12.067897,-76.933979,1,92.51,125.86
-12.099867,-77.052471,5,316.50,414.25
-8.13701,-79.037513,1,16.11,109.30
-12.017561,-77.032314,1,43.06,138.45
-12.011943,-77.068827,1,29.66,65.70
-6.797786,-79.89316,5,149.94,195.00
-12.072083,-75.205677,2,270.00,1752.09
-8.139992,-79.054427,5,160.00,297.94
-5.198395,-80.648641,5,219.40,153.81
-12.060286,-76.940364,1,32.90,104.98
-12.06746,-77.013206,2,1.79,11.99
-12.095294,-77.008436,1,30.37,92.40
-12.01768,-76.898045,1,14.24,61.95
-12.108217,-76.980612,1,108.04,243.40
-6.035791,-76.975378,5,484.50,280.00
-11.92777,-77.05719,1,5.40,75.10
-13.531803,-71.96391,1,13.48,99.69
-12.3762406,-76.7867079,5,140.40,177.00
-12.0180128,-76.88826,1,27.91,61.56
-12.126475,-76.99764,3,241.50,717.50
-12.064164,-77.04696,1,16.65,84.22
-12.072423,-76.977782,1,16.16,74.33
-5.893702,-76.12774,5,245.00,165.80
-9.121961,-78.522097,1,25.59,111.26
-12.08261,-77.10359,1,9.87,81.74
-6.779083,-79.878609,4,1411.58,9.75
-12.084481,-77.038222,1,23.28,98.00
-12.060668,-76.935977,1,14.12,90.11
-12.241852,-76.928598,5,140.00,100.00
-12.105892,-76.974793,1,35.90,147.47
-12.208395,-76.967969,1,14.43,62.76
-12.083009,-77.06691,2,48.87,76.29
-11.918848,-75.316962,1,20.65,125.70
-12.14461,-76.982435,5,200.00,332.79
-12.051609,-77.056691,1,6.44,94.36
-12.099347,-77.06289,1,9.90,95.47
-6.699075,-79.901748,5,60.00,27.58
-12.144023,-77.012814,1,13.20,73.12
-12.06698,-77.045095,1,11.37,87.45
-13.169968,-74.208987,2,381.09,244.00
-12.121641,-76.974952,1,46.34,160.28
-3.744517,-73.24789,5,93.82,93.82
-11.988984,-77.071771,2,133.00,320.00
-12.115655,-76.994245,5,400.00,598.52
-11.938203,-77.07521,1,35.56,121.99
-12.159325,-76.996216,5,165.00,268.15
-12.089842,-77.043183,1,10.76,101.11
-11.92777,-77.05719,1,3.62,50.30
-12.098844,-76.97793,1,29.34,287.61
-12.083719,-76.957807,1,142.21,217.66
-11.083105,-77.582312,4,552.00,0.00
-12.133474,-77.018348,1,6.32,67.91
-12.080084,-77.10686,1,8.24,105.23
-11.835818,-77.05306,5,108.89,53.22
-12.326211,-76.834185,5,121.41,235.45
-12.067716,-77.091801,5,177.50,285.35
-12.049375,-77.093823,1,67.07,166.94
-12.07246,-76.947903,1,28.79,64.97
-12.10477,-77.02571,1,11.20,90.40
-12.276543,-76.87076,2,2349.02,1597.24
-12.080175,-76.980604,1,11.88,82.61
-12.108995,-77.034995,1,47.15,82.00
-12.079234,-76.984109,1,12.32,60.00
-11.118354,-75.34442,5,685.40,380.00
-11.979873,-76.77089,5,869.82,188.70
-12.104094,-76.98045,1,47.78,168.50
-12.072549,-77.124244,1,13.56,58.96
-12.081396,-76.897508,5,459.00,394.05
-12.096574,-77.044459,5,262.50,312.77
-9.912841,-76.227646,1,23.40,81.38
-12.58113,-76.703513,5,95.48,131.05
-12.11376,-77.034834,2,24.70,194.50
-12.124906,-77.00881,1,27.66,108.43
-11.774647,-77.183481,1,24.91,193.12
-13.530267,-71.96322,1,8.71,60.57
-12.134505,-75.159344,2,19616.50,2199.50
-12.081001,-77.05263,1,9.29,86.00
-12.090889,-77.057053,3,1.14,24.72
-12.117199,-76.979079,5,161.50,268.54
-8.380668,-74.552907,5,139.90,123.90
-12.047107,-77.053007,1,5.06,53.66
-12.162892,-76.996543,5,120.00,109.00
-12.081298,-77.071176,5,163.52,333.17
-12.050795,-77.032504,3,9.84,68.45
-12.095766,-77.023346,3,12.56,87.41
-12.080545,-77.105998,5,90.40,67.00
-12.081898,-77.047103,1,3.75,74.98
-12.106176,-76.974737,1,31.00,156.46
-12.114111,-77.007793,1,34.26,121.25
-5.117471,-80.705897,4,1530000.00,2.00
-12.073105,-76.970922,1,3.44,144.20
-11.934848,-77.053573,5,136.20,90.00
-8.134545,-79.038176,1,9.96,99.90
-12.071953,-76.971076,1,75.00,143.61
-13.710687,-76.201177,2,130.00,634.80
-12.125371,-77.03418,1,4.02,96.76
-12.036763,-77.001889,1,14.53,63.16
-11.874395,-77.128166,5,250.00,80.39
-12.080915,-77.047554,1,0.00,96.66
-12.826443,-76.546016,5,245.00,228.26
-12.121859,-76.984332,1,58.85,239.84
-12.109764,-77.026698,1,4.18,80.00
-9.292218,-75.999078,2,400.00,293.00
-12.090568,-76.987696,1,20.47,121.72
-12.09221,-77.060825,5,86.63,160.50
-6.808171,-79.911192,5,112.50,198.10
-5.159901,-80.67469,5,61.05,27.84
-5.189561,-80.632604,2,63.12,164.67
-12.108525,-77.031612,1,12.81,101.64
-12.069665,-76.944657,5,181.05,268.24
-12.117908,-77.034012,3,8.00,69.56
-12.090474,-77.025907,5,156.21,408.95
-12.110158,-77.024012,1,10.44,45.38
-12.085661,-77.039538,5,120.18,102.00
-12.079135,-77.060538,5,81.00,145.40
-16.398191,-71.534117,2,625.70,593.90
-12.103854,-76.983604,5,1440.00,983.10
-12.098028,-77.036163,2,450.00,748.32
-13.530101,-71.96339,1,19.64,141.76
-7.076038,-76.51717,4,270600.00,2.00
-12.118777,-77.010598,1,28.60,179.71
-12.074555,-76.969895,5,1047.00,267.25
-12.001835,-77.064908,1,17.83,64.94
-12.092558,-77.034214,3,16.87,293.38
-11.87513,-77.062421,5,250.00,420.00
-11.961541,-77.07323,5,120.00,203.42
-12.072862,-77.03205,1,8.91,71.26
-16.431777,-71.508887,1,26.91,80.04
-12.099896,-76.991945,5,227.85,231.18
-12.078882,-76.974117,1,44.14,206.03
-12.328562,-76.832049,1,19.65,119.60
-12.106974,-76.946785,1,34.40,108.19
-12.031026,-76.934681,1,21.77,84.79
-16.386303,-71.546019,5,136.74,204.92
-11.997182,-77.083095,1,21.56,100.66
-12.119082,-77.003023,1,16.74,77.30
-12.089006,-77.036289,1,6.84,113.60
-12.082438,-77.10364,1,5.70,87.93
-12.07717,-77.08585,3,160.00,207.34
-11.933839,-77.06067,1,11.10,50.40
-12.08208,-75.199831,5,325.00,276.00
-12.052901,-77.055445,2,141.33,547.80
-11.955099,-77.07144,1,29.47,88.95
-12.082118,-77.05297,1,14.05,76.40
-10.071344,-78.150404,2,159.20,311.70
-11.423997,-75.6923,5,104.67,243.57
-12.064412,-76.947948,1,43.25,81.12
-3.555509,-80.42723,5,120.00,116.04
-12.064171,-76.946934,1,41.10,108.65
-12.094448,-77.070123,1,3.06,50.63
-12.076126,-77.070642,1,19.17,100.00
-16.394675,-71.533394,1,45.08,117.59
-8.118209,-79.039081,1,26.28,91.40
-12.1164152,-76.9811523,1,0.00,306.97
-12.142939,-76.986054,1,21.19,129.00
-12.121682,-77.03595,1,16.54,129.45
-12.096935,-77.07193,1,7.12,81.57
-12.140392,-77.024255,1,17.68,88.44
-12.08871,-77.049649,5,287.65,348.47
-12.066328,-77.04659,1,5.43,89.69
-11.503283,-77.212258,5,160.00,301.00
-12.112582,-77.027066,1,41.79,150.00
-12.190262,-76.926388,5,302.90,1080.00
-11.92777,-77.05719,1,5.28,73.20
-11.234213,-74.629877,5,120.00,100.00
-12.524414,-76.727687,4,13474.00,0.00
-16.422124,-71.549419,2,2760.00,1882.51
-13.544886,-72.695448,5,228.38,209.62
-13.531073,-71.961993,1,12.27,96.02
-12.107692,-76.995927,1,16.39,142.52
-12.080881,-77.09304,1,7.68,98.75
-12.119159,-77.027009,3,20.90,193.62
-16.422826,-71.494083,5,121.50,58.00
-12.102021,-76.965712,1,29.06,106.98
-13.526987,-71.942764,1,21.60,104.23
-12.088268,-77.060879,1,33.85,74.80
-12.092615,-76.983631,1,45.58,162.29
-12.074116,-77.040563,1,35.92,125.25
-3.93417,-73.390094,4,111400.00,3401.06
-12.055306,-77.02225,5,113.79,550.00
-5.183091,-80.622495,2,178.50,306.00
-12.089904,-77.071155,1,5.93,71.07
-12.061707,-77.04993,5,150.00,141.13
-6.794809,-79.853983,5,240.00,181.18
-13.534708,-71.976531,5,231.25,180.50
-12.097558,-77.052869,5,300.00,520.08
-7.150835,-78.52508,1,384.00,478.48
-12.122989,-77.003819,1,10.35,81.00
-12.11976,-77.03817,1,10.45,100.00
-12.116077,-76.977055,1,8.92,93.10
-12.07503,-77.038453,1,5.48,70.65
-12.011614,-76.827369,3,90.00,458.00
-12.113177,-76.965552,1,49.91,254.10
-12.085122,-77.045137,1,5.02,82.87
-12.128265,-76.978322,5,256.25,567.00
-12.161187,-76.96969,1,40.72,134.74
-13.051397,-76.430411,5,107.10,240.00
-12.0926,-77.0422,1,32.99,132.88
-11.98462,-76.821954,1,12.45,64.94
-12.092146,-77.071716,3,23.15,117.03
-3.759844,-73.252692,2,113.00,96.80
-12.08471,-76.961674,1,64.46,290.80
-8.130173,-79.04102,1,15.10,65.65
-9.121539,-78.529261,5,147.00,261.72
-12.091795,-77.055497,1,22.80,123.25
-12.07726,-76.91995,4,593.47,440.49
-12.090287,-77.06886,5,58.40,67.00
-12.062107,-75.20646,1,15.09,144.38
-8.129808,-79.039786,1,23.93,104.04
-8.381026,-74.534697,2,87.50,25.00
-12.131359,-77.006698,5,280.60,263.40
-11.932699,-77.059936,1,3.62,50.40
-12.127032,-77.03275,1,12.46,97.55
-12.079201,-77.029049,1,3.39,81.75
-8.354618,-74.582439,4,647.30,0.00
-12.071927,-77.058114,1,1.87,42.39
-3.742418,-73.255594,5,116.19,277.68
-12.136083,-76.990369,1,33.00,120.54
-12.012302,-76.963384,1,18.64,57.22
-12.073354,-77.097935,1,12.36,107.50
-12.052948,-77.016992,2,827.00,140.00
-8.089959,-79.012293,5,140.00,189.37
-12.079841,-76.98412,1,18.33,60.11
-12.216243,-77.00292,5,573.70,264.55
-12.026368,-77.053643,1,60.88,138.58
-11.937888,-77.064997,5,155.80,290.48
-12.167922,-76.946534,5,45.64,89.77
-12.120837,-76.986507,1,38.52,147.98
-8.09415,-79.052467,5,135.60,226.36
-12.053438,-75.244702,4,421.84,2.00
-12.182802,-77.00849,1,77.58,88.50
-12.13054,-77.026485,5,300.67,392.00
-11.982885,-77.068036,1,12.34,53.65
-12.060179,-77.068549,1,91.74,101.36
-11.062138,-75.33591,5,82.85,69.35
-12.052537,-76.943657,1,24.11,94.77
-8.081058,-79.017129,5,142.20,305.00
-12.07002,-77.013765,1,11.46,45.87
-12.11845,-77.017327,1,6.82,77.13
-11.103849,-77.60547,5,129.71,171.70
-12.169157,-77.026912,5,456.51,856.51
-3.725302,-73.250839,5,222.00,107.00
-12.012944,-77.088159,1,29.24,127.15
-11.937899,-77.081813,5,160.00,278.00
-12.170698,-76.965538,5,183.60,333.32
-12.123658,-77.02752,1,12.69,106.02
-12.097396,-77.042344,5,382.40,415.98
-9.427858,-74.925322,4,112314.00,0.00
-9.911595,-76.232569,5,208.87,294.65
-12.01768,-76.898045,1,28.21,59.35
-11.99,-77.06,4,199.52,839.00
-16.381473,-71.54969,1,39.02,145.17
-12.106478,-77.038585,1,3.67,63.86
-8.09257,-79.024652,4,24.00,24.00
-3.759331,-73.251512,2,359.97,492.22
-12.107162,-77.026048,1,23.02,85.61
-12.059432,-77.066155,1,38.18,91.86
-12.041503,-76.953495,2,160.00,309.00
-12.054966,-77.046083,1,73.95,192.91
-12.091178,-77.066671,1,3.45,75.09
-8.091215,-79.024132,2,68.61,30.00
-12.474391,-76.747809,2,4743.00,5109.00
-12.054793,-77.051917,3,80.00,190.00
-8.0974,-79.03687,1,810.00,3535.68
-6.496744,-76.350179,5,167.90,164.90
-12.095717,-77.044599,1,23.07,230.77
-12.099801,-76.970412,3,4.50,66.20
-11.826589,-77.0402,5,76.25,99.61
-12.117752,-77.03996,1,13.87,120.60
-12.068737,-77.047809,1,9.96,81.30
-12.155319,-76.989699,1,31.09,82.70
-12.121874,-76.988972,1,37.38,130.00
-12.025216,-77.074749,5,80.00,224.22
-3.75503,-73.25858,2,205.35,821.40
-12.12728,-77.026452,1,19.77,132.66
-12.119669,-77.024085,1,11.10,98.92
-12.010491,-76.961998,5,264.00,604.06
-12.105319,-77.02165,1,4.73,61.27
-12.102269,-76.963826,1,30.33,157.00
-11.958996,-76.97804,5,120.00,210.00
-12.041942,-76.955314,2,120.00,190.50
-12.134143,-77.009366,1,32.38,140.80
-5.886499,-76.112797,5,365.66,141.49
-17.097891,-71.782681,5,6.64,327.12
-13.417626,-76.15805,5,1293.00,361.14
-12.066417,-77.015668,2,0.64,8.29
-12.149024,-76.980536,5,157.40,197.23
-12.071618,-75.213988,3,11.04,48.00
-12.039525,-76.994492,5,113.40,235.90
-11.94225,-77.065787,2,200.00,574.00
-12.070949,-77.05055,1,11.46,75.00
-12.12092,-77.024946,1,8.25,130.00
-11.952783,-77.089538,1,31.92,65.56
-12.074191,-77.040796,1,24.07,83.71
-11.922034,-77.078372,1,21.28,92.53
-12.079448,-76.983501,5,160.00,330.00
-12.110856,-76.98356,4,960.00,6235.88
-12.095618,-77.054826,1,34.31,178.08
-5.180612,-80.643087,5,166.25,466.68
-8.097093,-79.048178,1,9.65,72.48
-11.892809,-77.042414,5,180.00,243.75
-12.089362,-77.028332,1,8.99,85.97
-8.129964,-79.029529,1,22.93,117.54
-12.057469,-77.025473,2,2.36,12.67
-12.028951,-76.88554,1,29.38,75.72
-13.061106,-76.352095,2,144.70,129.85
-12.083655,-77.016847,1,17.06,95.28
-10.686267,-76.25707,2,23.50,104.34
-12.056716,-77.043353,1,38.38,77.41
-11.948504,-77.091922,5,120.00,66.40
-12.080347,-77.068359,5,190.00,306.66
-12.0663844,-76.9634502,1,36.41,80.53
-12.089362,-77.028332,1,9.85,94.26
-12.295486,-76.849479,4,5000.00,0.00
-5.190096,-80.635115,2,539.28,436.00
-16.383872,-71.54043,1,30.50,228.63
-12.068748,-77.122191,5,329.60,225.17
-12.081699,-77.076998,1,89.77,202.17
-12.1263,-77.0159,1,35.17,127.92
-8.103498,-79.036325,3,5.27,22.91
-13.067091,-76.354384,5,250.00,285.00
-16.399498,-71.533719,2,100.29,244.41
-12.141168,-76.987124,5,152.00,238.70
-10.753934,-77.754725,5,120.00,160.00
-12.083194,-77.08223,1,3.03,76.56
-8.1116507,-79.0133996,2,420.00,388.23
-12.09673,-77.02181,3,12.31,183.83
-6.491386,-76.36289,3,208.57,442.14
-13.528974,-71.966085,1,8.14,70.74
-9.536819,-77.520117,5,190.00,223.33
-8.113296,-79.044176,1,23.42,61.09
-12.112659,-77.0145506,1,5.15,98.57
-13.636072,-72.881858,2,79.34,234.00
-8.092735,-79.04624,1,26.88,93.50
-12.06754,-77.066154,1,5.00,63.26
-12.077678,-77.070202,1,3.83,79.93
-12.092015,-77.050021,1,38.01,114.88
-12.083908,-77.046121,1,14.90,91.37
-12.162991,-76.960149,5,222.21,120.00
-12.072049,-77.095014,1,12.07,76.00
-12.077067,-77.051551,2,7.85,17.36
-12.13952,-77.019818,1,4.64,84.81
-12.089947,-77.040304,1,24.59,104.12
-12.080347,-77.10766,1,4.72,39.65
-12.127777,-77.026498,3,11.80,169.99
-12.06955,-76.974119,1,14.80,65.89
-9.116496,-78.529295,1,254.26,280.24
-12.118688,-77.017768,1,4.45,58.05
-12.08018,-77.097236,1,30.38,106.56
-11.8511707,-77.0693857,1,45.46,74.78
-12.081837,-77.050739,1,8.52,81.52
-14.065317,-75.72828,2,275.48,275.48
-12.115705,-77.00305,1,8.42,102.10
-12.12513,-77.0365,1,10.42,90.60
-12.106462,-77.025612,1,11.57,87.61
-12.099407,-77.021788,5,164.75,298.00
-12.004172,-77.006651,2,61.22,166.83
-12.12856,-77.015256,1,25.98,203.56
-12.095496,-76.92359,5,340.00,210.00
-12.10477,-77.02571,1,29.16,231.60
-12.15459,-76.975602,1,57.62,146.77
